Sven Taddicken
Nevill Coghill
Don Edmonds
Polly Draper
Sergio Leone
Basil Dearden
Rajkumar Santoshi
Maurice Tourneur
Michael Landon, Jr.
Gerald Potterton
Gene Nelson
Park Young-hoon
Ruggero Deodato
Raj Kapoor
Ade Edmondson
Santosh Sivan
José Cottinelli Telmo
B. Reeves Eason
Ernest R. Dickerson
Michael Apted
Richard Spence
Frank Capra
Simon Wells
Ib Melchior
John Dahl
Danny Pang Phat
Stuart Gordon
Catherine Breillat
Pen-Ek Ratanaruang
Bernard Rose
Peter Brook
Peter Horton
Mario Bava
Lucio Fulci
Rémy Belvaux
Eldar Ryazanov
Greg Glienna
Steve Miner
John Stainton
Peter Webber
Colin Trevorrow
Cristian Nemescu
Jerry Lewis
Lisa Cholodenko
Claude Lelouch
Herbert Ross
John Laing
Marco Bellocchio
Mamoru Oshii
Shekhar Kapur
Roy Del Ruth
Bo Welch
Rudolph Maté
Andrew Stanton
Giuliano Montaldo
David Lean
Fred Schepisi
Rospo Pallenberg
Adam Rifkin
Mike Fallows
Gabriel Friedman
Mario Caiano
Alan Cumming
Mick Jackson
Buddy Van Horn
Vadim Perelman
David Dobkin
Barry Sonnenfeld
Robert Harling
John Huston
Michel Gondry
Ernie Barbarash
Gerald Thomas
Ernie Fosselius
Jérôme Salle
George Seaton
Raj N. Sippy
Deepak Shivdasani
Anthony Waller
Robert Luketic
Cher
Donald Cammell
John Hillcoat
Sam Mendes
Dean Parisot
Frank Oz
Mike Johnson
Vladimir Mavounia-kouka
Charles Frend
Richard Eyre
Ken Russell
Ted Newsom
Phil Robinson
Homi Adajania
Yang Yun-ho
Jean Yarbrough
Lars von Trier
Judd Apatow
Sidney Lanfield
James Bridges
Eric Canuel
Robert Mandel
Jeong Jae-eun
Azhagam Perumal
Joseph L. Mankiewicz
Larry Ferguson
Arlene Sanford
Dale Kase
Raja Gosnell
Tom Graeff
Barbet Schroeder
Alfonso Cuarón
Bo Widerberg
Orson Welles
Michael Curtiz
Lew Landers
Peter Farrelly
Jonas Cornell
Bart Freundlich
Richard Burton
Robert Z. Leonard
Andrei Kudinenko
Roy Rowland
Steve Rash
Barry Levinson
Alfred Hitchcock
Sam Raimi
Joseph Ruben
Edward Dmytryk
Louis J. Gasnier
M.Raja
Brian Levant
Rob Cohen
Ron Shelton
Paul Verhoeven
M. Night Shyamalan
Larry Blamire
Rob Hardy
Alan Gibson
Dario Argento
Kevin Rodney Sullivan
Morio Asaka
Alan Rickman
Savage Steve Holland
Guru Dutt
Stanisław Bareja
Jay Lee
Paul Flaherty
Wenn V. Deramas
John Woo
Hayao Miyazaki
Curtis Harrington
Cullen Blaine
Satish Kaushik
Eric Red
Lloyd Kaufman
Tom McLoughlin
Gene Quintano
Reginald Hudlin
Louis Malle
Kenneth Branagh
Roman Polanski
John Duigan
Brian Yuzna
Mario Russo
Mukul S. Anand
Harmony Korine
Mario Van Peebles
Ovidio G. Assonitis
Terence Fisher
Ted Demme
Kathryn Bigelow
Blake Edwards
Damian Lee
John Landis
Tapan Sinha
Michael Powell
Steven Brill
Joshua Meador
John Stockwell
Jaume Collet-Serra
Warren Coleman
Glen Morgan
Bryan Spicer
Frank Pierson
Jun Fukuda
Anselmo Duarte
Patricia Rozema
Robert K. Weiss
Jordan Susman
Bud S. Smith
Fritz Kiersch
Tanit Jitnukul
Michael Miller
Jean-Pierre Melville
Jacques Becker
Toby Shelton
Jane Campion
Uli Edel
Henry Selick
Charles Crichton
Bruno Nuytten
Griffin Dunne
Jack Nicholson
Govind Nihalani
Niki Caro
Yoon Je-kyoon
Robert Zemeckis
Jerry Paris
Jim Wynorski
Susan Stroman
Luciano Lucignani
Ted Nicolaou
Jack Cardiff
John Whitesell
Sidney J. Furie
Christopher Leitch
Brad McGann
Nick Castle
Nadia Tass
Michael Winner
Nick Gomez
Yuen Woo-ping
Josh Gilbert
Lamont Johnson
Charles M. Schulz
Leonard Nimoy
Jules White
Roger Michell
Mustan Burmawalla
Mark Brown
Hrishikesh Mukherjee
Paul Leni
John G. Avildsen
John Irvin
Jack Arnold
Francine McDougall
Paul McGuigan
Aureliano Luppi
Sergio Corbucci
Majid Majidi
John Schultz
Terry Jones
Fred Zinnemann
P. Vasu
Luigi Comencini
Wisit Sasanatieng
David Frankel
Tony Scott
Harold Ramis
Joe Chappelle
Gary Davis
Bill Murray
Tony Gilroy
Ivan Sen
Lewis R. Foster
Fedor Bondarchuk
Paul Brizzi
Jean de Segonzac
Sébastien Dumesnil
Bob Radler
Peter Sasdy
Nanni Moretti
Hironobu Sakaguchi
Robert Hamer
Richard C. Sarafian
Adrian Lyne
Robert King
John Carpenter
André Cayatte
Jean-Marie Poiré
Robert Mulligan
Steve Carpenter
Josh Oreck
William Dear
Gene Kelly
Sacha Guitry
Joseph Kane
Joyce Chopra
Michael Gottlieb
Chris Menges
Raj Khosla
Dan Ireland
James D. Stern
Andy Warhol
Norman Jewison
Kelli Herd
Michael Polish
Deepak Kumaran Menon
Mikio Naruse
David Michener
Gianni Amelio
Scott Spiegel
Valerie Faris
Reginald Le Borg
Brian De Palma
Rosshan Andrrews
Gore Verbinski
Alberto Lattuada
John Frankenheimer
Puri Jagannadh
Curtis Hanson
Reverend Gary Davis
Justin Kerrigan
Craig Brewer
Masami Ōbari
Nobuhiro Suwa
Bill L. Norton
Daniela Thomas
Ellory Elkayem
Bob Rafelson
Juan José Ortega
Leslie Goodwins
Tom DiCillo
Santiago Segura
Mathieu Kassovitz
John Payson
Juan Padrón
Horst Königstein
Richard Rush
Emile Ardolino
Jason Paul Collum
Alexander Payne
Roy William Neill
K. Balachander
James Merendino
James Glenn Dudelson
René Clément
James Hill
George Marshall
Dunia Ayaso
Peter Hyams
Rupert Wainwright
Michael Ritchie
Ira Sachs
Joseph Hardy
Hendel Butoy
Jonathan Dayton
Martin Campbell
Paolo Virzì
Edgar Wright
J.J. Abrams
Gautham Menon
Ron Clements
David Koepp
Roberto Benigni
Riccardo Freda
Victor Salva
Ron Pitts
John Sayles
Víctor García
Miguel Coyula
Yasujirō Ozu
Kim Ui-seok
Raoul Walsh
Roland Joffé
Russell Rouse
Joe Johnston
Andy Fickman
Wes Anderson
Masaaki Tezuka
Michael Relph
Kevin Billington
Quentin Lee
Robert Duvall
Zhang Yuan
William Heins
Philip Ridley
Daniel Burman
Carl Reiner
Roger Avary
Preston Sturges
Nick Love
Stephen Frears
Alexander Sokurov
Shaji Kailas
Vicente Aranda
Norm Ferguson
Carlos Diegues
Rob LaDuca
Kevin Yagher
Jack Aldworth
Paul Levine
George W. Hill
Laurence Olivier
George Waggner
John Lafia
E. Elias Merhige
Spike Jonze
William A. Wellman
Dani Levy
Yvette Kaplan
Neal Jimenez
David W. Allen
Martin Brest
István Szabó
David Wechter
Albert Brooks
James Cruze
Rochus Gliese
George Huang
Andrew Davis
Jean Renoir
Jack Conway
Brett Leonard
James Keach
Gordon Douglas
Mysskin
Takashi Yamazaki
Yun Jae-yeon
Tim Hill
John Friend
Yongyoot Thongkongtoon
Dwight H. Little
Gérard Pirès
Tony Martin
Christopher Nielsen
Sally Potter
George Cukor
Mac Alejandre
Fritz Lang
Vera Fogwill
Lizzie Borden
Susan Seidelman
Ivan Reitman
Vsevolod Pudovkin
Jonathan Nossiter
Melanie Mayron
Taylor Hackford
Will Meugniot
Werner Herzog
Max Ophüls
Lloyd Bacon
Joseph Losey
Jon Amiel
Brett Ratner
George Pal
Irwin Allen
Perce Pearce
Ted Post
Barbra Streisand
Umberto Lenzi
Jake Kasdan
Kevin Allen
Francis Ford Coppola
Paul Schrader
Marcelo Piñeyro
Burt Medall
George Clooney
Antonio Serrano
Eddie Murphy
Robert Radler
Teddy Chan
Dean Hamilton
Charles Sellier
Mehmood Ali
Robert Stevenson
Slobodan Šijan
Mike Binder
John Cassavetes
Sidney Poitier
Scott Silver
John Ford
Wim Wenders
Adam McKay
S. Gopala Reddy
Judy Morris
Alan Hume
Walter Salles
Hugh Laurie
Irvin Yeaworth
Neil LaBute
Joe Wehinger
Matt Hill
Bob Kellett
Mike Southon
Kovelamudi Raghavendra Rao
Charles Walters
Coralie Trinh Thi
Chen Shi-Zheng
Siva Kumar
Jamie Blanks
Jim Sheridan
Edgar G. Ulmer
David Lynch
Ishirō Honda
Boopathy Pandian
Ashutosh Gowariker
Carl Theodor Dreyer
Michael Hoffman
François Weyergans
Mark Dindal
Paul Dinello
James L. Brooks
Gus Van Sant
Alan Zaslove
Srđan Dragojević
Jonas Vaitkus
Kim Cheong-gi
Mario Monicelli
Ol Parker
Mark L. Lester
Gregory J. Read
Ján Kadár
Ravi Chopra
A. Karunakaran
Cirio H. Santiago
Paul Auster
Juzo Itami
Andrew Niccol
Robert C. Ramirez
Nasir Hussain
Andrew Swant
David Carson
Robert Rossen
David Michael Latt
Mitch Rochon
William Friedkin
Harold Young
Nicolas Winding Refn
Gene Saks
Val Guest
Howard Franklin
Cyril Gardner
Wolfgang Petersen
Joel Gallen
Hideo Nakata
Michael Nankin
Anthony Minghella
Patrick Lussier
Hrafn Gunnlaugsson
Marc Rothemund
Jay Chandrasekhar
Melvin Frank
George A. Romero
R.D. Robb
